test_score,cv_score,cls,preprocess
0.63857119,0.640189304,1,"[1, 3]"
0.6200031646767041,0.6387832713604172,1,"[1, 3]"
0.4989973262032086,0.4998601398601399,6,"[1, 3]"
0.49924862247453666,0.4998146431881372,6,"[1, 3]"
0.5042238953630301,0.5027578433348422,6,"[1, 3]"
0.4996658312447786,0.5006740287213808,6,"[1, 3]"
0.5899065934065933,0.6162920994291456,6,"[1, 3]"
0.6007271240951284,0.6209275549851705,6,"[1, 3]"
0.6064862112972078,0.6367744263560606,6,"[1, 3]"
0.6567068314610184,0.6302947227865751,6,"[1, 3]"
0.5942511072945856,0.6197739678442066,6,"[1, 3]"
0.5940029860049137,0.6132374115181187,6,"[1, 3]"
0.5903873922776992,0.5965879628815457,6,"[1, 3]"
0.658666944676119,0.6014684528994823,6,"[1, 3]"
0.6201132388351278,0.6056027236264,6,"[1, 3]"
0.5827939206163122,0.5883151267610831,6,"[1, 3]"
0.6068352585934482,0.5779019932830287,6,"[1, 3]"
0.5679342160133445,0.5908467980562353,6,"[1, 3]"
0.5972648361864352,0.5782033411105709,6,"[1, 3]"
0.6176252947876726,0.5899788444625279,6,"[1, 3]"
0.5147150732066992,0.5067195872160746,6,"[1, 3]"
0.6462796142446706,0.6199361167178794,6,"[1, 3]"
0.5919029121802735,0.6267556114855115,6,"[1, 3]"
0.5758380033487865,0.6207084095220308,6,"[1, 3]"
0.5921841574015487,0.6405219939761185,6,"[1, 3]"
0.6095654473627663,0.6384486345052058,6,"[1, 3]"
0.6264477748682996,0.6070271526280138,6,"[1, 3]"
0.5318246851253442,0.5532445676554725,6,"[1, 3]"
0.6069726186498656,0.611186525443242,6,"[1, 3]"
0.5920380174110051,0.6321717523473385,6,"[1, 3]"
0.5904022694141287,0.6027878444179867,6,"[1, 3]"
0.5730427270372775,0.5947223853241848,6,"[1, 3]"
0.6165878532810013,0.5746401275692851,6,"[1, 3]"
0.5766144856442073,0.5871052390684066,6,"[1, 3]"
0.6247312604700921,0.6156535497779645,6,"[1, 3]"
0.6807498305512207,0.6072582895738428,6,"[1, 3]"
0.6406756198496851,0.6192824240889967,6,"[1, 3]"
0.6206077202949589,0.595147614271231,6,"[1, 3]"
0.5711167077989507,0.6100464086836745,6,"[1, 3]"
0.5734374121039683,0.6040975534517822,6,"[1, 3]"
0.6009172091470539,0.6245901522029617,6,"[1, 3]"
0.5330779640300332,0.5411737312350058,6,"[1, 3]"
0.558744150449758,0.5237645737877241,6,"[1, 3]"
0.6083781418457589,0.6067926480452923,6,"[1, 3]"
0.5587994505494506,0.5187078024383924,6,"[1, 3]"
0.5378646015412442,0.5438400963324383,6,"[1, 3]"
0.5433496404080949,0.5441576868017922,6,"[1, 3]"
0.4927415317870849,0.5275821957110723,6,"[1, 3]"
0.6065418376758841,0.6283749153240448,6,"[1, 3]"
0.6492351879154381,0.6279507319865674,6,"[1, 3]"
0.6106336781374389,0.6290212055688328,6,"[1, 3]"
0.6423968589134889,0.6241090019109311,6,"[1, 3]"
0.6475843544819353,0.6385581774170064,6,"[1, 3]"
0.6397880414260158,0.6294555058869584,6,"[1, 3]"
0.5028325258932104,0.5106852245743538,6,"[1, 3]"
0.6401537937482334,0.5908575973766651,6,"[1, 3]"
0.6270353089299932,0.6128858016454912,6,"[1, 3]"
0.6258883193740289,0.6094597938579586,6,"[1, 3]"
0.6406769850380373,0.6069108063607157,6,"[1, 3]"
0.5925073235600211,0.5969288289274522,6,"[1, 3]"
0.6150137741046833,0.6089470276245189,6,"[1, 3]"
0.6147585945997068,0.5988457125744735,6,"[1, 3]"
0.6212641811184966,0.6099836013150683,6,"[1, 3]"
0.602916492910759,0.6281737773280845,6,"[1, 3]"
0.6110213372254656,0.6252472584867093,8,"[1, 3]"
0.6053505016611845,0.6078743244157054,8,"[1, 3]"
0.5935453179769654,0.627736120075253,8,"[1, 3]"
0.6437312895889812,0.5872683137425228,8,"[1, 3]"
0.6679564630879882,0.5982744684264715,8,"[1, 3]"
0.6135971421919562,0.5982698863219655,8,"[1, 3]"
0.5706830344731721,0.6133465573698031,8,"[1, 3]"
0.6175912714493439,0.6048219539511204,8,"[1, 3]"
0.6223604563180256,0.62067095111478,8,"[1, 3]"
0.6616619663116239,0.6166715170197758,8,"[1, 3]"
0.6038701932172722,0.6140933876481394,8,"[1, 3]"
0.6331705420060972,0.6301220823133521,8,"[1, 3]"
0.6405321479800129,0.6208360984040372,8,"[1, 3]"
0.5650575863795694,0.598071764141956,8,"[1, 3]"
0.6229682932589818,0.6139701085402566,8,"[1, 3]"
0.6450081352255266,0.6307530052459186,8,"[1, 3]"
0.6398992206210115,0.6503338871210179,8,"[1, 3]"
0.6180476008654703,0.6353324946330835,8,"[1, 3]"
0.593324865404196,0.6311363926928347,8,"[1, 3]"
0.6827791687531296,0.6616997495592566,8,"[1, 3]"
0.6436712854215603,0.6498183859272839,8,"[1, 3]"
0.6172251981052725,0.6181467886834388,1,"[1, 3]"
0.6033972116446342,0.6168274073870293,1,"[1, 3]"
0.6387545787545786,0.6013535163572223,1,"[1, 3]"
0.6093169656909033,0.6105482973306444,1,[1]
0.5840110045717521,0.5919330200919755,1,[1]
0.5993591162478674,0.5890721752960308,1,[1]
0.5404597231335176,0.5891415234855575,1,[1]
0.5571640177408508,0.5959679745902705,1,"[1, 3]"
0.6020221723844861,0.5991939156633501,1,"[1, 3]"
0.6479186052784183,0.6363305179214447,1,"[1, 3]"
0.6459500369478677,0.6355386526160463,1,"[1, 3]"
0.6458685143176036,0.6449219914772859,1,"[1, 3]"
0.6704160399345443,0.635506830901739,1,"[1, 3]"
0.6717828963722983,0.6464696647266891,1,"[1, 3, 5]"
0.6401516361017388,0.6463076651359073,1,"[1, 3, 5]"
0.6420461495231327,0.6346664060035495,1,"[1, 5]"
0.6390499275326103,0.636229992343379,1,"[1, 5]"
0.6082844096542728,0.6390326594519917,1,"[1, 5]"
0.6477633770010591,0.6472363259375271,1,"[1, 3, 5]"
0.6547378299078618,0.6450115191231947,1,"[3, 5]"
0.6195491023669718,0.6438918676029702,1,"[3, 5]"
0.6376789132864797,0.6450987433355728,1,"[3, 5]"
0.6692681085636039,0.648555415417001,1,"[3, 5]"
0.5957278536568238,0.6520959056489055,1,"[3, 5]"
0.6504135143153834,0.6521928167832398,1,"[3, 5]"
