iter	Passed	Remaining
192	32687	43527
193	32746	43212
194	32930	43063
195	33178	42996
196	33369	42854
197	33548	42697
198	33738	42554
199	33819	42274
200	33980	42094
201	34156	41934
202	34322	41762
203	34481	41580
204	34607	41359
205	34758	41170
206	34908	40979
207	35018	40742
208	35169	40553
209	35315	40360
210	35474	40182
211	35541	39900
212	35714	39738
213	35831	39514
214	35972	39319
215	36129	39140
216	36277	38952
217	36424	38763
218	36606	38612
219	36780	38451
220	36934	38271
221	37045	38046
222	37206	37874
223	37335	37668
224	37504	37504
225	37736	37402
226	37837	37170
227	37899	36902
228	38036	36707
229	38177	36517
230	38238	36252
231	38400	36082
232	38440	35800
233	38579	35611
234	38820	35516
235	39011	35374
236	39195	35225
237	39377	35075
238	39574	34938
239	39781	34808
240	40015	34701
241	40181	34536
242	40289	34320
243	40425	34129
244	40638	34003
245	40819	33850
246	40993	33690
247	41144	33513
248	41276	33319
249	41460	33168
250	41586	32970
251	41785	32831
252	41974	32683
253	42216	32576
254	42407	32429
255	42522	32224
256	42698	32065
257	42854	31891
258	43010	31718
259	43051	31460
260	43216	31294
261	43397	31140
262	43547	30963
263	43610	30725
264	43677	30491
265	43835	30322
266	43986	30148
267	44145	29979
268	44274	29790
269	44431	29620
270	44601	29460
271	44776	29302
272	44926	29128
273	45080	28956
274	45211	28771
275	45377	28607
276	45525	28432
277	45658	28249
278	45805	28074
279	45963	27906
280	46088	27718
281	46112	27471
282	46248	27291
283	46411	27127
284	46578	26966
285	46764	26815
286	46907	26640
287	47062	26472
288	47198	26293
289	47352	26125
290	47458	25930
291	47560	25734
292	47736	25578
293	47884	25407
294	48017	25229
295	48151	25052
296	48314	24889
297	48470	24723
298	48570	24528
299	48740	24370
300	48899	24206
301	49086	24055
302	49216	23877
303	49362	23706
304	49511	23538
305	49669	23373
306	49744	23170
307	49881	22997
308	50031	22829
309	50227	22683
310	50425	22537
311	50669	22411
312	50898	22278
313	51049	22110
314	51215	21949
315	51436	21811
316	51537	21623
317	51764	21487
318	51913	21318
319	52104	21167
320	52297	21016
321	52492	20866
322	52674	20710
323	52848	20552
324	52995	20382
325	53154	20218
326	53249	20029
327	53396	19860
328	53516	19682
329	53561	19477
330	53751	19324
331	53901	19157
332	54056	18992
333	54186	18819
334	54329	18650
335	54408	18459
336	54544	18289
337	54717	18131
338	54821	17950
339	54975	17786
340	55131	17622
341	55268	17453
342	55449	17297
343	55615	17137
344	55755	16969
345	55926	16810
346	56035	16633
347	56169	16463
348	56332	16302
349	56459	16131
350	56605	15965
351	56733	15795
352	56841	15619
353	56992	15455
354	57154	15294
355	57208	15105
356	57378	14947
357	57546	14788
358	57717	14630
359	57791	14447
360	57852	14262
361	57991	14097
362	58164	13940
363	58344	13784
364	58498	13622
365	58652	13461
366	58820	13302
367	58973	13140
368	59091	12971
369	59184	12796
370	59360	12640
371	59514	12478
372	59698	12323
373	59898	12171
374	60084	12016
375	60181	11844
376	60339	11683
377	60520	11527
378	60697	11370
379	60880	11214
380	61068	11059
381	61267	10906
382	61457	10751
383	61693	10603
384	61856	10443
385	62060	10289
386	62264	10136
387	62431	9976
388	62573	9812
389	62817	9664
390	63000	9506
391	63136	9341
392	63329	9185
393	63569	9035
394	63832	8888
395	64094	8740
396	64272	8580
397	64425	8417
398	64480	8241
399	64694	8086
400	64778	7915
401	64866	7745
402	65011	7582
403	65191	7422
404	65373	7263
405	65499	7098
406	65634	6934
407	65737	6767
408	65873	6603
409	66026	6441
410	66205	6282
411	66381	6122
412	66548	5961
413	66641	5794
414	66723	5627
415	66879	5466
416	67034	5304
417	67193	5143
418	67328	4981
419	67500	4821
420	67668	4661
421	67822	4500
422	67972	4338
423	68028	4171
424	68131	4007
425	68268	3846
426	68370	3682
427	68538	3522
428	68717	3363
429	68869	3203
430	69023	3042
431	69079	2878
432	69218	2717
433	69371	2557
434	69445	2394
435	69624	2235
436	69815	2076
437	69896	1914
438	70064	1755
439	70215	1595
440	70377	1436
441	70597	1277
442	70851	1119
443	71027	959
444	71213	800
445	71402	640
446	71599	480
447	71672	319
448	71824	159
449	71875	0
