iter	RMSE
204	0.1267743733
205	0.1267724294
206	0.126768109
207	0.1267654365
208	0.12676247
209	0.1267594579
210	0.1267564298
211	0.1267561178
212	0.1267545488
213	0.1267534132
214	0.1267513169
215	0.1267494305
216	0.1267477242
217	0.1267456335
218	0.126739716
219	0.1267370489
220	0.1267355849
221	0.1267347526
222	0.1267287805
223	0.1267275533
224	0.1267247295
225	0.1267171688
226	0.1267164856
227	0.1267162405
228	0.1267141943
229	0.126712608
230	0.1267123369
231	0.1267083927
232	0.1267081876
233	0.1267063613
234	0.1266953101
235	0.1266935935
236	0.126692012
237	0.1266881429
238	0.1266818496
239	0.1266805767
240	0.1266782352
241	0.1266711903
242	0.126670821
243	0.1266684553
244	0.126664627
245	0.1266577387
246	0.1266567931
247	0.1266559602
248	0.1266556594
249	0.1266527308
250	0.1266505404
251	0.1266445926
252	0.126641857
253	0.1266383724
254	0.1266372234
255	0.1266342077
256	0.1266328425
257	0.1266298422
258	0.1266249708
259	0.1266248507
260	0.1266199582
261	0.1266177879
262	0.1266155844
263	0.1266136672
264	0.1266130203
265	0.1266081261
266	0.1266019766
267	0.1265971497
268	0.1265969691
269	0.1265960801
270	0.1265911996
271	0.1265895131
272	0.1265864605
273	0.1265862205
274	0.1265821771
275	0.1265812471
276	0.1265797001
277	0.1265781712
278	0.1265766838
279	0.1265725443
280	0.1265709988
281	0.1265709212
282	0.1265680049
283	0.1265639264
284	0.1265591261
285	0.1265556939
286	0.1265510094
287	0.1265485363
288	0.1265474359
289	0.1265458346
290	0.1265438216
291	0.1265429694
292	0.1265427746
293	0.1265395501
294	0.1265390274
295	0.1265375819
296	0.126534417
297	0.1265298693
298	0.1265274516
299	0.1265238215
300	0.126522146
301	0.1265193029
302	0.1265180394
303	0.1265152014
304	0.1265143808
305	0.1265054824
306	0.1265049523
307	0.1265032812
308	0.1265030046
309	0.1264963483
310	0.1264925997
311	0.1264904467
312	0.1264874805
313	0.1264854818
314	0.126480905
315	0.1264771962
316	0.1264765724
317	0.126472963
318	0.1264718462
319	0.1264698446
320	0.1264660181
321	0.1264648988
322	0.126462145
323	0.1264594869
324	0.1264545686
325	0.1264516658
326	0.1264508155
327	0.1264452295
328	0.1264438622
329	0.1264436635
330	0.1264410883
331	0.1264363898
332	0.1264334264
333	0.1264327962
334	0.1264307799
335	0.1264294047
336	0.1264263167
337	0.126424618
338	0.1264234263
339	0.1264194466
340	0.1264137201
341	0.1264116394
342	0.126409919
343	0.1264082243
344	0.126407304
345	0.1264030949
346	0.1264020536
347	0.1264001252
348	0.1263975349
349	0.1263953192
350	0.1263919741
351	0.1263919388
352	0.1263882357
353	0.1263863352
354	0.1263856332
355	0.1263853144
356	0.1263791108
357	0.1263764041
358	0.1263743793
359	0.1263739195
360	0.1263733368
361	0.1263691297
362	0.1263651216
363	0.1263606442
364	0.1263569656
365	0.1263564466
366	0.1263550538
367	0.1263523552
368	0.1263522751
369	0.1263514144
370	0.1263494415
371	0.1263479452
372	0.1263420484
373	0.1263410727
374	0.1263385229
375	0.1263358102
376	0.1263334882
377	0.1263323963
378	0.1263315075
379	0.1263260517
380	0.1263234877
381	0.1263221402
382	0.1263205011
383	0.1263190593
384	0.126315549
385	0.1263104626
386	0.1263092709
387	0.1263082159
388	0.1263074693
389	0.1263051949
390	0.1263044385
391	0.1263022941
392	0.1262977867
393	0.1262953748
394	0.1262920561
395	0.1262909531
396	0.1262880439
397	0.1262860656
398	0.1262857421
399	0.1262837027
400	0.126283164
401	0.1262830236
402	0.1262809059
403	0.1262784267
404	0.1262752439
405	0.1262723875
406	0.1262697273
407	0.1262685989
408	0.1262612281
409	0.1262587604
410	0.126254323
411	0.1262521576
412	0.1262489206
413	0.1262486982
414	0.126248649
415	0.1262431628
416	0.1262384157
417	0.1262352528
418	0.1262342159
419	0.126231507
420	0.1262282975
421	0.1262242914
422	0.1262216205
423	0.126221598
424	0.1262204756
425	0.1262176223
426	0.1262171377
427	0.1262167087
428	0.1262150735
429	0.1262139261
430	0.1262123962
431	0.1262120547
432	0.1262092572
433	0.126205155
434	0.1262051506
435	0.1261994591
436	0.126193413
437	0.1261933493
438	0.1261917396
439	0.1261910915
440	0.1261891136
441	0.1261876012
442	0.1261823654
443	0.1261808483
444	0.1261771443
445	0.1261728797
446	0.1261711707
447	0.1261710048
448	0.1261645358
449	0.1261645327
